Reference,Administrative divisions,Location,Epidemiological unit,Number of outbreaks,Start Date,End Date,State,Report,,State,Count of State
0323/2021 (ob_82876),Lahad Datu,"KM 20, AIR TERJUN HUTAN SIMPAN SEGAYA, JALAN SILAM",Village,1,27/2/2021,27/5/2021,Sabah,,,,
0318/2021 (ob_82874),Beluran,"KG. BASAI, BELURAN",Village,1,22/2/2021,22/5/2021,Sabah,,,,
0231/2021 (ob_82871),Sandakan,"LADANG GOMANTONG, BATU 4, SUKAU, KINABATANGAN",Village,1,19/2/2021,19/5/2021,Sabah,,,,
0220/2021 (ob_82870),Sandakan,GOMANTONG ESTATE,Village,1,19/2/2021,19/5/2021,Sabah,,,,
0233/2021 (ob_82872),Lahad Datu,LEMBAH DANUM,Village,1,16/2/2021,16/5/2021,Sabah,,,,
1154/2021 (ob_82697),Beluran,"hutan simpan block 25 sekar4, sugut, beluran, sandakan",Village,1,8/2/2021,8/5/2021,Sabah,,,,
VL2607/21 (ob_92916),Papar,Kg. Tiku,Village,1,22/10/2021,22/1/2022,Sabah,,,,
VL2358/21 (ob_92915),Papar,Kg. Purak,Village,1,29/9/2021,29/12/2021,Sabah,,,,
VL2290/21 (ob_92914),Sipitang,Kg. Kaban,Village,1,23/9/2021,23/12/2021,Sabah,,,,
VL2194/21 (ob_92913),Papar,Kg. Kogopon,Village,1,14/9/2021,14/12/2021,Sabah,,,,
VL2180/21 (ob_92912),Kota Kinabalu,Kg. Pengesaan,Village,1,13/9/2021,13/12/2021,Sabah,,,,
VL2042/21 (ob_92911),Tenom,Kg. Alutok,Village,1,24/8/2021,24/11/2021,Sabah,,,,
VL1876/21 (ob_90432),Kuala Penyu,Kg. Melampai,Village,1,9/8/2021,9/11/2021,Sabah,,,,
VL1670/21 (ob_90431),Keningau,Kg. Agudon,Village,1,22/7/2021,22/10/2021,Sabah,,,,
VL1635/21 (ob_90430),Kuala Penyu,Kg. Gorowot,Village,1,16/7/2021,16/10/2021,Sabah,,,,
VL1509/21 (ob_90429),Tambunan,Kg. Kuala Namadan,Village,1,7/7/2021,7/10/2021,Sabah,,,,
VL1442/21 (ob_90426),Tambunan,Kg. Pomotodon,Village,1,28/6/2021,28/9/2021,Sabah,,,,
VL1439/21 (ob_90425),Tawau,Kg. Iban Kecil Merotai Tawau,Village,1,26/6/2021,26/9/2021,Sabah,,,,
VL1438/21 (ob_90424),Tawau,Kg. Iban Kecil Marotai Tawau,Village,1,26/6/2021,26/9/2021,Sabah,,,,
VL1319/21 (ob_90423),Tawau,Bt 4 Sin Onn Tawau,Village,1,16/6/2021,16/9/2021,Sabah,,,,
"VL1213,14,15/21 (ob_86583)",Sandakan,"batu 14, jalan julil alip",Village,1,2/6/2021,2/9/2021,Sabah,,,,
VL0679/21 (ob_86582),Kota Belud,kg. tandahawon,Village,1,29/3/2021,29/6/2021,Sabah,,,,
VL0990/21 (ob_85675),Sandakan,"jalan cheng ho, batu 12",Village,1,27/4/2021,27/7/2021,Sabah,,,,
